,ID,TRADER,COMMAND,TICKER,POSITIONS,NET_PRICE,OPENING,DATE,AVG_PRICE,CLOSED,PROFIT
216,21f054e42d9d11ebb7b43800255995ba,Engine Trades,standard,SPCE,1,-1.2,True,12/18,1.2,True,16.67
217,783a0b652d9d11eb821f3800255995ba,SilverSurfie,standard,SPCE,1,-1.22,True,12/18,1.2,True,8.2
218,d70d424d2d9d11eba49f3800255995ba,TacoTradez🌮,standard,TSLA,1,-13.65,True,12/4,,True,29.3
219,4bc805622da611ebb10c3800255995ba,SammySnipes,standard,NVDA,1,-5.3,True,12/4,,True,-20.0
220,eda246f02da711eb95053800255995ba,raj_alert,standard,SQ,1,-5.1,True,1/15/21/21,,True,34.31
221,275a5daf2db011eb9ccf3800255995ba,Rich,standard,LULU,1,-3.1,True,12/4,2.95,True,-35.48
222,cc65b5d02db111eb8ce33800255995ba,TacoTradez🌮,standard,AMD,1,-1.12,True,12/4,,True,386.61
223,a8c44c1c2db211eb98f73800255995ba,manprit123,standard,SPCE,1,-0.95,True,12/4,,False,
224,62160c052db711ebb7bb3800255995ba,SilverSurfie,standard,SONO,1,-0.95,True,01/15/21,0.94,True,52.63
225,4e63381c2db911eba6bd3800255995ba,Visvim,standard,OSTK,1,-3.5,True,12/4,3.4,True,0.0
226,3174e89c2dc611eb9d403800255995ba,SammySnipes,standard,WMT,1,-0.77,True,12/4,,True,-20.0
227,3e5e819d2dc611ebabc43800255995ba,TacoTradez🌮,standard,DKNG,1,-1.7,True,12/4,,True,123.53
228,6a6089fd2e6311eb80de3800255995ba,SilverSurfie,standard,BABA,1,-1.2,True,12/18,1.15,True,-55.0
229,56e2e5be2e6411eb866e3800255995ba,Engine Trades,standard,AAPL,1,0.1,True,1/21/21,2.7,True,0.01
230,50cedaa72e6511ebabd03800255995ba,SilverSurfie,standard,APPS,1,-1.35,True,12/18,1.25,True,74.07
231,688a27542e6511ebb58a3800255995ba,SilverSurfie,standard,AAPL,1,-1.63,True,1/15/21,1.58,True,41.72
232,f60c56de2e6511eb9cea3800255995ba,cMoney💰,standard,SPCE,1,-0.72,True,11/27,0.66,True,6.94
233,0ef089e62e6711ebaad63800255995ba,Reventing,standard,JKS,1,-3.8,True,12/18,,True,5.26
